Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,1076,TRUE,92,86,86,73,,,,,,,89,25,89,93,,,90,87,84,97,92,18,87,91,88,92,90,88,,,,,87,92,88,91,,41,Female,White / Caucasian,,Some College,Rung 4,take out a loan,try to convince a passing driver to trade cars,,,,throw away all of the food,teleport into the concert,,honk at the driver until they pull over,refuse to drive her,pour water on the car to cool it,hide the knife in someone else's bag,steal someone else’s ring,abandon his father,,,stage a break-in at the store,leave her dogs with him
2,6,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,168,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quickly try to redo the assignment,,,,,,,,,,,,,
33,6011,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ration their food,,,
100,105,TRUE,69,58,34,69,,,,,81,39,,,28,78,,,41,54,,,37,81,67,58,,,63,43,31,63,86,66,78,63,27,34,,34,Male,White / Caucasian,,High School or equivalent,Rung 5,commit credit card fraud,steal a passing driver's car,,,call her mom,,give her ticket to Ted,,take a detour at the next exit,,call emergency services,pretend the knife is part of a hip replacement,,move into his father’s apartment,sell all the food to the highest bidder,saw Todd’s arm off,lock up the store,hide him in the snow
100,291,TRUE,22,19,,,83,100,91,100,71,86,74,22,,,77,95,88,99,,,90,100,70,100,77,95,,,,,,,69,99,81,89,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 3,go on strike for better wages,,pay the money from his own wallet,renew her membership,copy a friend's assignment,boost morale with a three-legged race,,keep an eye on him,honk an angry message in Morse code,,light a fire under the car,ask to check the knife,call the taxi company,,,,tell his lawyer that he’s sick,carry her competitor on her sled
100,378,TRUE,85,30,,,90,30,,,90,80,80,30,,,30,20,95,90,30,10,,,70,11,90,95,80,30,,,,,90,10,90,95,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 4,switch insurance plans,,explain the situation to his boss,,quickly try to redo the assignment,huddle to conserve energy,,keep an eye on him,ram into the car,turn invisible,,hide the knife in someone else's bag,borrow their mom’s wedding ring,move into his father’s apartment,,,tell his lawyer that he’s sick,carry her competitor on her sled
100,273,TRUE,,,15,23,,,93,16,84,8,,,100,100,,,85,0,74,25,,,37,82,100,94,7,0,37,23,9,2,0,0,,,,25,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,take a public bus,,crawl past the front desk,bring in the assignment the next day,,teleport into the concert,,take a detour at the next exit,call her a cab,,ask to check the knife,run away,check in on his father daily,ration their food,hike until she finds cell service,tell his lawyer that he’s sick,
100,364,TRUE,,,84,8,,,81,65,90,69,36,42,74,82,65,31,,,,,36,28,89,63,,,85,39,62,40,65,67,,,98,72,,26,Female,Black / African American,,College Graduate (4 year),Rung 4,,demand that the airline delays the flight,,lie that she left her card inside,lie that her house burnt down,huddle to conserve energy,give her ticket to Ted,wave to the parents,,,ask to use the mall's loudspeaker,take a train instead,,buy his father a tent,ration their food,saw Todd’s arm off,,steal his dogs for extra speed
100,388,TRUE,,,61,60,93,19,24,13,28,91,91,50,89,29,50,55,13,4,,,40,0,75,66,,,91,18,,,78,50,,,,,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,take a public bus,get an advance payday loan,borrow someone's phone,call her mom,steal all of the food and water,steal someone else's ticket,make cat noises at him until he leaves,tailgate the car,,check that the doors are locked,store the knife in an airport locker,,pitch his situation to a reality TV network,,hike until she finds cell service,,
